sample;annotation
молоко 3.2%;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT')]
кефир 2.5%;[(0,5, 'B-TYPE'), (6,10, 'B-PERCENT')]
ряженка 4%;[(0,7, 'B-TYPE'), (8,10, 'B-PERCENT')]
сгущенка 8.5%;[(0,9, 'B-TYPE'), (10,14, 'B-PERCENT')]
масло 82%;[(0,5, 'B-TYPE'), (6,9, 'B-PERCENT')]
масло 72 %;[(0,5, 'B-TYPE'), (6,8, 'B-PERCENT'), (9,10, 'I-PERCENT')]
маргарин 60%;[(0,8, 'B-TYPE'), (9,12, 'B-PERCENT')]
сливки 15%;[(0,6, 'B-TYPE'), (7,10, 'B-PERCENT')]
творожок 5%;[(0,8, 'B-TYPE'), (9,11, 'B-PERCENT')]
творожный сыр 20%;[(0,6, 'B-TYPE'), (7,13, 'I-TYPE'), (14,17, 'B-PERCENT')]
сметана 25 %;[(0,7, 'B-TYPE'), (8,10, 'B-PERCENT'), (11,12, 'I-PERCENT')]
майонез 67%;[(0,7, 'B-TYPE'), (8,11, 'B-PERCENT')]
кефир 0%;[(0,5, 'B-TYPE'), (6,8, 'B-PERCENT')]
кефир 3.2 %;[(0,5, 'B-TYPE'), (6,10, 'B-PERCENT'), (11,12, 'I-PERCENT')]
ряженка 6%;[(0,7, 'B-TYPE'), (8,10, 'B-PERCENT')]
сметана 30%;[(0,7, 'B-TYPE'), (8,11, 'B-PERCENT')]
творог 11%;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT')]
творог 18 %;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT'), (10,11, 'I-PERCENT')]
сыр плавленый 55%;[(0,3, 'B-TYPE'), (4,12, 'I-TYPE'), (13,16, 'B-PERCENT')]
сливки 9%;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT')]
сливки 35 %;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT'), (10,11, 'I-PERCENT')]
молоко 4.5%;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT')]
молоко 0.5%;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT')]
йогурт 0.1%;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT')]
йогурт 10%;[(0,6, 'B-TYPE'), (7,10, 'B-PERCENT')]
сметана 12 %;[(0,7, 'B-TYPE'), (8,10, 'B-PERCENT'), (11,12, 'I-PERCENT')]
творог мягкий 7%;[(0,6, 'B-TYPE'), (7,13, 'I-TYPE'), (14,16, 'B-PERCENT')]
сыр твердый 45%;[(0,3, 'B-TYPE'), (4,10, 'I-TYPE'), (11,14, 'B-PERCENT')]
сливки 8%;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT')]
масло сливочное 72.5%;[(0,5, 'B-TYPE'), (6,15, 'I-TYPE'), (16,21, 'B-PERCENT')]
кефир бифидок 1%;[(0,5, 'B-TYPE'), (6,13, 'I-TYPE'), (14,16, 'B-PERCENT')]
творог обезжиренный 0%;[(0,6, 'B-TYPE'), (7,18, 'I-TYPE'), (19,21, 'B-PERCENT')]
творог зерненый 5%;[(0,6, 'B-TYPE'), (7,15, 'I-TYPE'), (16,18, 'B-PERCENT')]
сыр сулугуни 45%;[(0,3, 'B-TYPE'), (4,11, 'I-TYPE'), (12,15, 'B-PERCENT')]
сметана деревенская 20%;[(0,7, 'B-TYPE'), (8,19, 'I-TYPE'), (20,23, 'B-PERCENT')]
йогурт греческий 10%;[(0,6, 'B-TYPE'), (7,15, 'I-TYPE'), (16,19, 'B-PERCENT')]
кефир био 3.2%;[(0,5, 'B-TYPE'), (6,9, 'I-TYPE'), (10,14, 'B-PERCENT')]
молоко топленое 4%;[(0,6, 'B-TYPE'), (7,14, 'I-TYPE'), (15,17, 'B-PERCENT')]
сливки взбитые 33%;[(0,6, 'B-TYPE'), (7,14, 'I-TYPE'), (15,18, 'B-PERCENT')]
творог кремовый 9%;[(0,6, 'B-TYPE'), (7,15, 'I-TYPE'), (16,18, 'B-PERCENT')]
